Number,Atom1,Atom2,Atom3,Atom4,Torsion
1,C5,Si1,O1,C4,-93.2
2,O1B,Si1,O1,C4,87
3,O1T,Si1,O1,C4,164.4
4,O1V,Si1,O1,C4,10.1
5,Si1,O1,C4,C3,170.1
6,Si1,O1,C4,C4V,-7.7
7,C3,C2,C1,H1,-35
8,C3,C2,C1,H2,-152.2
9,C3,C2,C1,C2P,86(1)
10,C2V,C2,C1,H1,148
11,C2V,C2,C1,H2,31
12,C2V,C2,C1,C2P,-91(1)
13,H3,C3,C2,C1,8
14,H3,C3,C2,C2V,-175
15,C4,C3,C2,C1,-172.0(9)
16,C4,C3,C2,C2V,5(2)
17,O1,C4,C3,C2,177.4(9)
18,O1,C4,C3,H3,-3
19,C4V,C4,C3,C2,-5(1)
20,C4V,C4,C3,H3,175.1
21,C6,C5,Si1,O1,-22
22,C6,C5,Si1,O1B,158
23,C6,C5,Si1,O1T,66
24,C6,C5,Si1,O1V,-114
25,C6B,C5,Si1,O1,158
26,C6B,C5,Si1,O1B,-22
27,C6B,C5,Si1,O1T,-114
28,C6B,C5,Si1,O1V,66
29,C6T,C5,Si1,O1,-66
30,C6T,C5,Si1,O1B,114
31,C6T,C5,Si1,O1T,22
32,C6T,C5,Si1,O1V,-158
33,C6V,C5,Si1,O1,114
34,C6V,C5,Si1,O1B,-66
35,C6V,C5,Si1,O1T,-158
36,C6V,C5,Si1,O1V,22
37,H4,C6,C5,Si1,-0
38,H4,C6,C5,C6B,180
39,H4,C6,C5,C6T,101
40,H4,C6,C5,C6V,-140
41,C8,C6,C5,Si1,180
42,C8,C6,C5,C6B,-0
43,C8,C6,C5,C6T,-79
44,C8,C6,C5,C6V,40
45,H6,C8,C6,C5,-179
46,H6,C8,C6,H4,0
47,C7,C8,C6,C5,0
48,C7,C8,C6,H4,-180
49,C4B,O1B,Si1,O1,87
50,C4B,O1B,Si1,C5,-93.2
51,C4B,O1B,Si1,O1T,10.1
52,C4B,O1B,Si1,O1V,164.4
53,C3B,C2B,C1B,H1B,-35
54,C3B,C2B,C1B,H2B,-152.2
55,C3B,C2B,C1B,C2Q,86(1)
56,C2T,C2B,C1B,H1B,148
57,C2T,C2B,C1B,H2B,31
58,C2T,C2B,C1B,C2Q,-91(1)
59,H3B,C3B,C2B,C1B,8
60,H3B,C3B,C2B,C2T,-175
61,C4B,C3B,C2B,C1B,-172.0(9)
62,C4B,C3B,C2B,C2T,5(2)
63,C4T,C4B,O1B,Si1,-7.7
64,C3B,C4B,O1B,Si1,170.1
65,H4B,C6B,C5,Si1,-0
66,H4B,C6B,C5,C6,180
67,H4B,C6B,C5,C6T,-140
68,H4B,C6B,C5,C6V,101
69,C8B,C6B,C5,Si1,180
70,C8B,C6B,C5,C6,-0
