Number,Atom1,Atom2,Atom3,Atom4,Torsion
1,Si1,C1,C2,H1,2
2,Si1,C1,C2,C3,-178
3,Si1,C1,C2,C3QA,146.3
4,Si1,C1,C2,C2QA,104
5,C2C,C1,C2,H1,-178
6,C2C,C1,C2,C3,2
7,C2C,C1,C2,C3QA,-34
8,C2C,C1,C2,C2QA,-76
9,C2NA,C1,C2,H1,139
10,C2NA,C1,C2,C3,-41
11,C2NA,C1,C2,C3QA,-76
12,C2NA,C1,C2,C2QA,-118
13,C2QA,C1,C2,H1,-102
14,C2QA,C1,C2,C3,78
15,C2QA,C1,C2,C3QA,42
16,H2,C3,C2,C1,177
17,H2,C3,C2,H1,-3
18,H2,C3,C2,C3QA,-118
19,H2,C3,C2,C2QA,-118
20,C4,C3,C2,C1,-3
21,C4,C3,C2,H1,177
22,C4,C3,C2,C3QA,62
23,C4,C3,C2,C2QA,62
24,C2QA,C3,C2,C1,-66
25,C2QA,C3,C2,H1,115
26,C2QA,C3,C2,C3QA,-0(2)
27,C3QA,C3,C2,C1,-66
28,C3QA,C3,C2,H1,115
29,C3QA,C3,C2,C2QA,0(2)
30,H3,C4,C3,C2,-178
31,H3,C4,C3,H2,2
32,H3,C4,C3,C2QA,-147
33,H3,C4,C3,C3QA,-104
34,C3C,C4,C3,C2,2
35,C3C,C4,C3,H2,-178
36,C3C,C4,C3,C2QA,33
37,C3C,C4,C3,C3QA,76
38,C3NA,C4,C3,C2,47
39,C3NA,C4,C3,H2,-133
40,C3NA,C4,C3,C2QA,79
41,C3NA,C4,C3,C3QA,121
42,C3QA,C4,C3,C2,-74
43,C3QA,C4,C3,H2,106
44,C3QA,C4,C3,C2QA,-43
45,O1,C5,C6,H4,-3.8
46,O1,C5,C6,C7,176.1(4)
47,C5NA,C5,C6,H4,177.2
48,C5NA,C5,C6,C7,-2.9(7)
49,C8,C7,C6,C5,-175.3(4)
50,C8,C7,C6,H4,4.7
51,C7NA,C7,C6,C5,2.8(6)
52,C7NA,C7,C6,H4,-177.2
53,H5,C8,C7,C6,-38.4
54,H5,C8,C7,C7NA,143.6
55,H6,C8,C7,C6,-156.4
56,H6,C8,C7,C7NA,25.6
57,C7RB,C8,C7,C6,82.7(5)
58,C7RB,C8,C7,C7NA,-95.3(5)
59,Si1,O1,C5,C6,172.2
60,Si1,O1,C5,C5NA,-8.8
61,O1C,Si1,C1,C2,-69.2
62,O1C,Si1,C1,C2C,110.8
63,O1C,Si1,C1,C2NA,161.4
64,O1C,Si1,C1,C2QA,-18.6
65,O1NA,Si1,C1,C2,18.6
66,O1NA,Si1,C1,C2C,-161.4
67,O1NA,Si1,C1,C2NA,-110.8
68,O1NA,Si1,C1,C2QA,69.2
69,O1QA,Si1,C1,C2,-161.4
70,O1QA,Si1,C1,C2C,18.6
71,O1QA,Si1,C1,C2NA,69.2
72,O1QA,Si1,C1,C2QA,-110.8
73,O1,Si1,C1,C2,110.8
74,O1,Si1,C1,C2C,-69.2
75,O1,Si1,C1,C2NA,-18.6
76,O1,Si1,C1,C2QA,161.4
77,H1C,C2C,C1,C2,-178
78,H1C,C2C,C1,Si1,2
79,H1C,C2C,C1,C2NA,-102
80,H1C,C2C,C1,C2QA,139
81,C3C,C2C,C1,C2,2
82,C3C,C2C,C1,Si1,-178
83,C3C,C2C,C1,C2NA,78
84,C3C,C2C,C1,C2QA,-41
85,C2NA,C2C,C1,C2,-76
86,C2NA,C2C,C1,Si1,104
87,C2NA,C2C,C1,C2QA,-118
88,C3NA,C2C,C1,C2,-34
89,C3NA,C2C,C1,Si1,146.3
90,C3NA,C2C,C1,C2NA,42
91,C3NA,C2C,C1,C2QA,-76
92,H2C,C3C,C4,C3,-178
93,H2C,C3C,C4,H3,2
94,H2C,C3C,C4,C3NA,106
95,H2C,C3C,C4,C3QA,-133
96,C2C,C3C,C4,C3,2
97,C2C,C3C,C4,H3,-178
98,C2C,C3C,C4,C3NA,-74
99,C2C,C3C,C4,C3QA,47
100,C2NA,C3C,C4,C3,33
101,C2NA,C3C,C4,H3,-147
102,C2NA,C3C,C4,C3NA,-43
103,C2NA,C3C,C4,C3QA,79
104,C3NA,C3C,C4,C3,76
105,C3NA,C3C,C4,H3,-104
106,C3NA,C3C,C4,C3QA,121
107,C5QA,C5C,C6C,H4C,177.2
108,C5QA,C5C,C6C,C7C,-2.9(7)
109,O1C,C5C,C6C,H4C,-3.8
110,O1C,C5C,C6C,C7C,176.1(4)
111,C8C,C7C,C6C,C5C,-175.3(4)
112,C8C,C7C,C6C,H4C,4.7
113,C7QA,C7C,C6C,C5C,2.8(6)
114,C7QA,C7C,C6C,H4C,-177.2
115,H5C,C8C,C7C,C6C,-38.4
116,H5C,C8C,C7C,C7QA,143.6
117,H6C,C8C,C7C,C6C,-156.4
118,H6C,C8C,C7C,C7QA,25.6
119,C7SB,C8C,C7C,C6C,82.7(5)
120,C7SB,C8C,C7C,C7QA,-95.3(5)
121,C5C,O1C,Si1,C1,-92.9
122,C5C,O1C,Si1,O1NA,163.9
123,C5C,O1C,Si1,O1QA,11.3
124,C5C,O1C,Si1,O1,87.1
125,H1NA,C2NA,C1,C2,-139
126,H1NA,C2NA,C1,Si1,-2
127,H1NA,C2NA,C1,C2C,102
128,H1NA,C2NA,C1,C2QA,178
129,C2C,C2NA,C1,C2,118
130,C2C,C2NA,C1,Si1,-104
131,C2C,C2NA,C1,C2QA,76
132,C3C,C2NA,C1,C2,76
133,C3C,C2NA,C1,Si1,-146.3
134,C3C,C2NA,C1,C2C,-42
135,C3C,C2NA,C1,C2QA,34
136,C3NA,C2NA,C1,C2,41
137,C3NA,C2NA,C1,Si1,178
138,C3NA,C2NA,C1,C2C,-78
139,C3NA,C2NA,C1,C2QA,-2
140,H2NA,C3NA,C4,C3,133
141,H2NA,C3NA,C4,H3,-2
142,H2NA,C3NA,C4,C3C,-106
143,H2NA,C3NA,C4,C3QA,178
144,C2C,C3NA,C4,C3,-79
145,C2C,C3NA,C4,H3,147
146,C2C,C3NA,C4,C3C,43
147,C2C,C3NA,C4,C3QA,-33
148,C3C,C3NA,C4,C3,-121
149,C3C,C3NA,C4,H3,104
150,C3C,C3NA,C4,C3QA,-76
151,C2NA,C3NA,C4,C3,-47
152,C2NA,C3NA,C4,H3,178
153,C2NA,C3NA,C4,C3C,74
154,C2NA,C3NA,C4,C3QA,-2
155,C6NA,C5NA,C5,C6,0.0(7)
156,C6NA,C5NA,C5,O1,-179.1(4)
157,O1NA,C5NA,C5,C6,179.1(4)
158,O1NA,C5NA,C5,O1,0.0(6)
159,H4NA,C6NA,C5NA,C5,-177.2
160,H4NA,C6NA,C5NA,O1NA,3.8
161,C7NA,C6NA,C5NA,C5,2.9(7)
162,C7NA,C6NA,C5NA,O1NA,-176.1(4)
163,C8NA,C7NA,C7,C6,-178.0(4)
164,C8NA,C7NA,C7,C8,-0.0(7)
165,C6NA,C7NA,C7,C6,0.0(6)
166,C6NA,C7NA,C7,C8,178.0(4)
167,H5NA,C8NA,C7NA,C7,-143.6
168,H5NA,C8NA,C7NA,C6NA,38.4
169,H6NA,C8NA,C7NA,C7,-25.6
170,H6NA,C8NA,C7NA,C6NA,156.4
171,C7BB,C8NA,C7NA,C7,95.3(5)
172,C7BB,C8NA,C7NA,C6NA,-82.7(5)
173,C5NA,O1NA,Si1,C1,92.9
174,C5NA,O1NA,Si1,O1C,-163.9
175,C5NA,O1NA,Si1,O1QA,-87.1
176,C5NA,O1NA,Si1,O1,-11.3
177,H1QA,C2QA,C1,C2,102
178,H1QA,C2QA,C1,Si1,-2
179,H1QA,C2QA,C1,C2C,-139
180,H1QA,C2QA,C1,C2NA,178
181,C2,C2QA,C1,Si1,-104
182,C2,C2QA,C1,C2C,118
183,C2,C2QA,C1,C2NA,76
184,C3,C2QA,C1,C2,-42
185,C3,C2QA,C1,Si1,-146.3
186,C3,C2QA,C1,C2C,76
187,C3,C2QA,C1,C2NA,34
188,C3QA,C2QA,C1,C2,-78
189,C3QA,C2QA,C1,Si1,178
190,C3QA,C2QA,C1,C2C,41
191,C3QA,C2QA,C1,C2NA,-2
192,H2QA,C3QA,C2,C1,-140
193,H2QA,C3QA,C2,H1,1
194,H2QA,C3QA,C2,C3,92
195,H2QA,C3QA,C2,C2QA,-88
196,C3,C3QA,C2,C1,128
197,C3,C3QA,C2,H1,-92
198,C3,C3QA,C2,C2QA,-180(2)
199,C4,C3QA,C2,C1,76
200,C4,C3QA,C2,H1,-143
201,C4,C3QA,C2,C3,-51
202,C4,C3QA,C2,C2QA,129
203,C2QA,C3QA,C2,C1,-52
204,C2QA,C3QA,C2,H1,88
205,C2QA,C3QA,C2,C3,180(2)
206,C6QA,C5QA,C5C,C6C,0.0(7)
207,C6QA,C5QA,C5C,O1C,-179.1(4)
208,O1QA,C5QA,C5C,C6C,179.1(4)
209,O1QA,C5QA,C5C,O1C,-0.0(6)
210,H4QA,C6QA,C5QA,C5C,-177.2
211,H4QA,C6QA,C5QA,O1QA,3.8
212,C7QA,C6QA,C5QA,C5C,2.9(7)
213,C7QA,C6QA,C5QA,O1QA,-176.1(4)
214,C8QA,C7QA,C7C,C6C,-178.0(4)
215,C8QA,C7QA,C7C,C8C,0.0(7)
216,C6QA,C7QA,C7C,C6C,0.0(6)
217,C6QA,C7QA,C7C,C8C,178.0(4)
218,H5QA,C8QA,C7QA,C7C,-143.6
219,H5QA,C8QA,C7QA,C6QA,38.4
220,H6QA,C8QA,C7QA,C7C,-25.6
221,H6QA,C8QA,C7QA,C6QA,156.4
222,C7CB,C8QA,C7QA,C7C,95.3(5)
223,C7CB,C8QA,C7QA,C6QA,-82.7(5)
224,C5QA,O1QA,Si1,C1,92.9
225,C5QA,O1QA,Si1,O1C,-11.3
226,C5QA,O1QA,Si1,O1NA,-87.1
227,C5QA,O1QA,Si1,O1,-163.9
228,Si1M,C1M,C2BB,H1BB,2
229,Si1M,C1M,C2BB,C3BB,-178
230,Si1M,C1M,C2BB,C3N,146.3
231,Si1M,C1M,C2BB,C2N,104
232,C2M,C1M,C2BB,H1BB,139
233,C2M,C1M,C2BB,C3BB,-41
234,C2M,C1M,C2BB,C3N,-76
235,C2M,C1M,C2BB,C2N,-118
236,C2N,C1M,C2BB,H1BB,-102
237,C2N,C1M,C2BB,C3BB,78
238,C2N,C1M,C2BB,C3N,42
239,C2AB,C1M,C2BB,H1BB,-178
240,C2AB,C1M,C2BB,C3BB,2
241,C2AB,C1M,C2BB,C3N,-34
242,C2AB,C1M,C2BB,C2N,-76
243,H2BB,C3BB,C2BB,C1M,177
244,H2BB,C3BB,C2BB,H1BB,-3
245,H2BB,C3BB,C2BB,C3N,-118
246,H2BB,C3BB,C2BB,C2N,-118
247,C4M,C3BB,C2BB,C1M,-3
248,C4M,C3BB,C2BB,H1BB,177
249,C4M,C3BB,C2BB,C3N,62
250,C4M,C3BB,C2BB,C2N,62
251,C2N,C3BB,C2BB,C1M,-66
252,C2N,C3BB,C2BB,H1BB,115
253,C2N,C3BB,C2BB,C3N,0(2)
254,C3N,C3BB,C2BB,C1M,-66
255,C3N,C3BB,C2BB,H1BB,115
256,C3N,C3BB,C2BB,C2N,-0(2)
257,H3M,C4M,C3BB,C2BB,-178
258,H3M,C4M,C3BB,H2BB,2
259,H3M,C4M,C3BB,C2N,-147
260,H3M,C4M,C3BB,C3N,-104
261,C3M,C4M,C3BB,C2BB,47
262,C3M,C4M,C3BB,H2BB,-133
263,C3M,C4M,C3BB,C2N,79
264,C3M,C4M,C3BB,C3N,121
265,C3AB,C4M,C3BB,C2BB,2
266,C3AB,C4M,C3BB,H2BB,-178
267,C3AB,C4M,C3BB,C2N,33
268,C3AB,C4M,C3BB,C3N,76
269,C3N,C4M,C3BB,C2BB,-74
270,C3N,C4M,C3BB,H2BB,106
271,C3N,C4M,C3BB,C2N,-43
